title	short_title	link	saleprice	oldprice	reviews	percentoff
BENSN 12v 2a Power Supply Adapter, AC to DC Adapter Power Cord for Router, Home Appliances | CCTV Camera, Seagate External Hard Drive, Yamaha Keyboards, Led Strips Lights	BENSN 12v 2a Power Supply	/BENSN-Adapter-Appliances-External-Keyboards/dp/B07JY9FBLR/ref=sr_1_49_mod_primary_lightning_deal?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252024&s=black-friday&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A1N82VPXK3JVYS&sr=1-49	8.79	12.99	443	32.33256351
Wolfenstein Alt History Collection (PS4)	Wolfenstein Alt History C	/Wolfenstein-Alt-History-Collection-PS4/dp/B08L9XVZQC/ref=sr_1_58?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-58	19.99	29.48	0	32.19131615
Ring Floodlight Cam | HD Security Camera with Built-in Floodlights, Two-Way Talk and Siren Alarm | With 30-day free trial of Ring Protect Plan	Ring Floodlight Cam | HD 	/Ring-Floodlight-Security-Floodlights-Two-Way/dp/B074G9DPXD/ref=sr_1_94?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-94	169	249	0	32.12851406
Ring Floodlight Cam | HD Security Camera with Built-in Floodlights, Two-Way Talk and Siren Alarm | With 30-day free trial of Ring Protect Plan	Ring Floodlight Cam | HD 	/Ring-Floodlight-Security-Floodlights-Two-Way/dp/B074G9DPXD/ref=sr_1_98?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252037&s=black-friday&sr=1-98	169	249	0	32.12851406
EC Technology Portable Charger 22400mAh Power Bank Ultra High Capacity External Battery Pack	EC Technology Portable Ch	/EC-Technology-Portable-22400mAh-Smartphone-Black-Red/dp/B00F5Q4F0U/ref=sr_1_100?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252037&s=black-friday&sr=1-100	13.59	19.99	0	32.016008
EC Technology Portable Charger 22400mAh Power Bank Ultra High Capacity External Battery Pack	EC Technology Portable Ch	/EC-Technology-Portable-22400mAh-Smartphone-Black-Red/dp/B00F5Q4F0U/ref=sr_1_96?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-96	13.59	19.99	0	32.016008
Crucial P2 CT250P2SSD8 250 GB Internal SSD, Up to 2400 MB/s (3D NAND, NVMe, PCIe, M.2)	Crucial P2 CT250P2SSD8 25	/Crucial-CT250P2SSD8-250GB-Internal-2100/dp/B086BKGSC1/ref=sr_1_93?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-93	31.99	46.79	0	31.63069032
Crucial P2 CT250P2SSD8 250 GB Internal SSD, Up to 2400 MB/s (3D NAND, NVMe, PCIe, M.2)	Crucial P2 CT250P2SSD8 25	/Crucial-CT250P2SSD8-250GB-Internal-2100/dp/B086BKGSC1/ref=sr_1_97?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252037&s=black-friday&sr=1-97	31.99	46.79	0	31.63069032
ANNKE 8CH 5MP H.265+ CCTV Camera System w/1TB HDD, 8x 2.0MP Security Outdoor Bullet Cameras, Email Alert with Images, Smart Playback, 24/7 Home &Business Monitoring Recording	ANNKE 8CH 5MP H.265+ CCTV	/ANNKE-Systems-All-Weather-Adaptation-Playback/dp/B013SL9WGK/ref=sr_1_57?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-57	164.99	239.99	409	31.25130214
Netvue 1080P Outdoor Security Camera, Home WIFI IP Camera Smart Surveillance Camera with Motion/Human Detection, IP66 Weatherproof, 30ft Night Vision, Support Alexa and 2-way Audio, Cloud Storage	Netvue 1080P Outdoor Secu	/Compatible-Wireless-Security-Outdoor-Detector/dp/B07D72T39X/ref=sr_1_143?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252043&s=black-friday&sr=1-143	27.64	39.99	0	30.88272068
